002010069,400009080,906428705,040376150,730500020,001000340,500000090,894060010,000954002,
900508007,080302905,054000080,070680032,100004008,500219060,000906001,726001040,001470056,
006000300,001903760,473000800,060720930,340500078,100380240,080201400,730000100,019407500,
001006435,000001000,050470980,002080709,008700612,064010050,910342807,027000090,603090500,
040900380,600000090,290374500,017096023,000200054,804700000,002530908,400027601,081000270,
075000020,369200700,008035169,600013000,000600005,094070600,450000387,706050402,002347010,
680007000,015042800,400060130,132680700,500000001,060200305,871020050,009051267,200003900,
070904501,000007600,000613007,057002096,306705200,080190700,010000062,928501004,060400085,
004001602,050409030,013280000,000704908,429800763,078002000,830040157,040020090,100070004,
009003000,000620904,827000603,210360045,096070000,700040190,062450300,100706400,300982060,
000084003,130050094,905013070,400096000,003700001,750030469,504078020,360029050,020000307,
004672000,500800096,063040008,382100960,475000100,910204500,000000029,001000743,200063801,
050672000,200000600,409801200,020090050,573284009,040057023,600405007,800003400,034908006,
506304000,490005763,087902000,023406150,050008000,100750080,275600800,030807009,000031070,
002300004,080069000,459207160,145092038,670010040,200000651,017006300,000000075,804500010,
650007903,002100600,900063004,129000000,304908100,000300479,006080305,740500001,581400026,
730950000,200670580,005010400,190063205,040000600,568207000,020081300,001009760,070520809,
000400000,005126734,460003000,004001068,010678002,006205007,652800400,900060050,178350900,
870600045,050307000,309100720,100500079,000003102,760020500,080000204,905230087,427050010,
605400302,734060058,010530000,042607195,097004060,000013007,906305000,470091020,000020000,
070130680,002000030,530704009,003020060,000915002,004083190,005000906,700340850,890056073,
005000210,196284753,030150406,308005000,400063000,501920374,000002500,050030600,013040000,
208003750,006071803,750040109,530000008,609010205,007490001,002100307,005600490,370080000,
001638002,403950000,000470319,009007500,004005008,518004007,800020074,002740005,047089060,
479012000,030670010,102900704,000040568,680000002,200863090,340080900,020400800,801520400,
009420060,070905302,500003090,000801020,260000051,018200400,380004019,094030685,021008030,
685130047,700000010,010764050,900070504,801009072,403006000,000427390,040900068,107000400,
310605400,604210083,900030020,247560030,860100000,005302670,080000004,030000762,500070809,
000807000,257049100,980031200,020000307,008062514,501370809,030496000,096700480,700000000,
704530200,008160000,102000685,007910068,005007302,680054190,000700800,250000473,000040026,
560900007,000687910,190250600,605400002,210008064,004002098,900045871,050000000,070001250,
020000000,400090800,960204057,809600105,500800046,130009720,700415269,290000580,005008003,
415078209,060029500,000001470,300045002,000100050,007030090,670900130,049013020,031250006,
605000709,734598002,200764300,100083004,040010860,508400003,001040200,906801430,000200000,
794080032,021400590,305000004,139065020,000243000,040701000,453000800,067050309,008300050,
