049000010,031649000,002030084,410000070,700105009,028000500,280000006,000406002,000200040,
900070030,057830900,000500008,500008070,000063500,000400009,032057600,100200007,040090012,
004000310,060004000,030000604,503000701,027851009,008400506,010008000,786300090,000090000,
200405000,580700420,403900060,000002000,006031207,008009010,004107030,010090000,300080006,
085092700,000080000,300006020,490800050,210700096,000160000,649000030,031000600,807001000,
680000250,010002680,420008013,002000400,008704000,000009030,000020300,009851020,000403001,
002530049,500820006,030000000,007090000,096000400,004700061,000060000,928370005,063080090,
000900003,004810020,020007108,000000974,000003000,006291000,700086000,000324786,008000052,
030000009,000800002,027004000,900450800,100006900,374002060,496070200,000360000,050200091,
250003091,309000720,001006300,000068003,010040000,603000050,132000070,000004060,764010000,
600984000,001200400,509000087,000300690,000420810,900061700,050000000,004100500,300045008,
000900003,004810020,020007108,000000974,000003000,006291000,700086000,000324786,008000052,
005007030,008049005,700000900,063010704,000000109,000406000,000062080,030180000,009374016,
050406000,000200000,084703600,002031498,800000025,549000000,760100042,005060000,900000050,
900870040,000340700,003056000,190003200,302010080,500020900,200700000,034000160,005002400,
900000530,000000600,610094000,000051000,029730085,061080300,000000700,832005090,740309000,
500600000,800540603,600031000,002000370,304000500,180063009,000057032,000006700,050204000,
308015000,409700005,561008000,904000530,050001049,000000800,030007006,700390200,000080700,
100400580,598000037,760008000,000013060,900000200,000000791,001040000,009026000,006891004,
051270004,069100000,000940060,000003005,040000080,000080016,002504700,000009050,805360240,
070005103,000000007,013726800,060000002,200000005,000840900,900100708,008030040,000089651,
080509000,460001000,000072800,006050300,000096070,503004000,600410038,010060209,704000600,
029000000,000600090,000740102,907000003,030807010,050093027,206430801,080000300,040900000,
000000218,080000096,006040700,020000009,800006030,063490007,009000180,000200304,730050960,
080050090,000600203,427003060,008162000,030009080,000500000,256801370,040000100,000040020,
000080040,000300508,608000007,020900080,040030210,580001704,000040006,094027000,000198070,
002000107,745200000,006005000,057604031,904503600,610000009,400000063,000000908,078000000,
560742901,040000078,000360200,004050106,000200490,009000500,906000004,800900700,003005000,
100382490,300000010,280000000,000700960,063200100,000050300,072004000,830000000,509160820,
000000103,501004000,020010004,000308000,000000006,070561090,406830010,010700039,003106408,
230600100,000010000,000057004,870260415,004000700,000003920,050940831,000130600,010000000,
600000000,019083004,730100090,000060040,900300001,400809050,008900020,302608000,100040603,
